kode,nama,provinsi,kabupaten,kecamatan,desa
1101012001,Keude Bakongan,Aceh,Kab.,Bakongan,Keude Bakongan
1101012002,Ujong Mangki,Aceh,Kab.,Bakongan,Ujong Mangki
1101012003,Ujong Padang,Aceh,Kab.,Bakongan,Ujong Padang
1101012004,Gampong Drien,Aceh,Kab.,Bakongan,Gampong Drien
1101012015,Darul Ikhsan,Aceh,Kab.,Bakongan,Darul Ikhsan
1101012016,Padang Beurahan,Aceh,Kab.,Bakongan,Padang Beurahan
1101012017,Gampong Baro,Aceh,Kab.,Bakongan,Gampong Baro
1101022001,Fajar Harapan,Aceh,Kab.,Kluet Utara,Fajar Harapan
1101022002,Krueng Batee,Aceh,Kab.,Kluet Utara,Krueng Batee
1101022003,Pasi Kuala Asahan,Aceh,Kab.,Kluet Utara,Pasi Kuala Asahan
1101022004,Gunong Pulo,Aceh,Kab.,Kluet Utara,Gunong Pulo
1101022005,Pulo Ie I,Aceh,Kab.,Kluet Utara,Pulo Ie I
1101022006,Jambo Manyang,Aceh,Kab.,Kluet Utara,Jambo Manyang
1101022008,Limau Purut,Aceh,Kab.,Kluet Utara,Limau Purut
1101022009,Pulo Kambing,Aceh,Kab.,Kluet Utara,Pulo Kambing
1101022010,Kampung Paya,Aceh,Kab.,Kluet Utara,Kampung Paya
1101022011,Krueng Batu,Aceh,Kab.,Kluet Utara,Krueng Batu
1101022012,Krueng Kluet,Aceh,Kab.,Kluet Utara,Krueng Kluet
1101022013,Alur Mas,Aceh,Kab.,Kluet Utara,Alur Mas
1101022014,Kampung Tinggi,Aceh,Kab.,Kluet Utara,Kampung Tinggi
1101022015,Ruak,Aceh,Kab.,Kluet Utara,Ruak
1101022016,Simpang Lhee,Aceh,Kab.,Kluet Utara,Simpang Lhee
1101022017,Suaq Geuringgeng,Aceh,Kab.,Kluet Utara,Suaq Geuringgeng
1101022018,Pasi Kuala Ba'U,Aceh,Kab.,Kluet Utara,Pasi Kuala Ba'U
1101022019,Kedai Padang,Aceh,Kab.,Kluet Utara,Kedai Padang
1101022020,Kotafajar,Aceh,Kab.,Kluet Utara,Kotafajar
