=== RINGKASAN DATABASE KODEPOS INDONESIA ===
Tanggal Konsolidasi: 2026-03-17T07:29:15.330Z

| No | Provinsi | Jumlah Data |
|---|---|---|
| 1 | ACEH | 3990 |
| 2 | BALI | 1493 |
| 3 | BANTEN | 398 |
| 4 | BENGKULU | 594 |
| 5 | DI YOGYAKARTA | 247 |
| 6 | DKI JAKARTA | 473 |
| 7 | DKI JAKARTA  | 136 |
| 8 | GORONTALO | 562 |
| 9 | JAMBI | 423 |
| 10 | JAWA BARAT | 9155 |
| 11 | JAWA TENGAH | 25580 |
| 12 | JAWA TIMUR | 13567 |
| 13 | KALIMANTAN BARAT | 2288 |
| 14 | KALIMANTAN SELATAN | 4966 |
| 15 | KALIMANTAN TENGAH | 1866 |
| 16 | KALIMANTAN TIMUR | 1077 |
| 17 | KALIMANTAN UTARA | 577 |
| 18 | KEPULAUAN BANGKA BELITUNG | 1011 |
| 19 | KEPULAUAN RIAU | 1293 |
| 20 | LAMPUNG | 1347 |
| 21 | MALUKU | 2723 |
| 22 | MALUKU UTARA | 1194 |
| 23 | NUSA TENGGARA BARAT | 1490 |
| 24 | NUSA TENGGARA TIMUR | 4597 |
| 25 | PAPUA | 2354 |
| 26 | PAPUA BARAT | 4483 |
| 27 | PAPUA BARAT DAYA | 2027 |
| 28 | PAPUA PEGUNUNGAN | 2649 |
| 29 | PAPUA SELATAN | 692 |
| 30 | PAPUA TENGAH | 1555 |
| 31 | RIAU | 4482 |
| 32 | SULAWESI BARAT | 3553 |
| 33 | SULAWESI SELATAN | 3736 |
| 34 | SULAWESI TENGAH | 2204 |
| 35 | SULAWESI TENGGARA | 3470 |
| 36 | SULAWESI UTARA | 2619 |
| 37 | SUMATERA BARAT | 3358 |
| 38 | SUMATERA BARAT  | 428 |
| 39 | SUMATERA SELATAN | 3548 |
| 40 | SUMATERA UTARA | 7268 |

=============================================
TOTAL KESELURUHAN DATA: 129473 records
=============================================
